Prompt,Source,Source Sub-category ,Year,Maturity,Tag,Description,,Transcript
How might we eliminate carbon emissions with High-temperature PEM Fuel Cell for Aviation?,CAS,Wicked Wild,,High,,"Opportunity: 1) To eliminate CO2 emission 2) To triple energy efficiencyCO2 production by hydrocarbon fueled aircraft that contributes to global warming is expected to triple by 2050. Continuing to fuel aircraft with hydrocarbons is not sustainable. 
Replacing hydrocarbon fuel with H2 eliminates CO2 emission. Joint NACA/NASA - Air Force projects Bee and Suntan successfully flew a B-57B twin-engine bomber using liquid hydrogen (LH2),  and successfully fueled MW-scale aircraft engines (CW J-65 and P&W M304) using LH2 in the 1950s.
Because LH2 volumetric energy density is 25% of jet fuel, H2 powered aircraft requires a much larger fuel tank. Replacing the combustion process with higher energy efficiency fuel cell electrochemical reaction may offset the lower LH2 energy density. The current PEM fuel cell energy efficiency (~50%) is ~2X an internal combustion engine. The estimated efficiency of high temperature PEM fuel cell (HT PEM FC) is >70%. The DOE is developing HT-PEM technologies for heavy duty vehicles but excludes considerations specific to aviation. 
""Wicked-Wild"" Idea: Develop HT-PEM technology for aviation
Using HT-PEM fuel cells to power electric aircraft eliminates CO2 emissions while sustaining timely, long-distance travel capability. 
Develop HT-PEM fuel cell materials specifically for aviation 
Focus on membranes, electrodes, and membrane electrode assemblies (MEA)
Include other stack components as opportunities allow
Test HT-PEM fuel cell materials, single cells, and cell stacks under aviation load profiles (high-power flight condition for take off and climb, low ambient air temperature and very dry air at high elevation, etc.)
Demonstrate HT-PEM FC energy efficiency and CO2 emission reductions",,"the pitch is high temperature PEM Fuel cell for aviation.
Flying Airplane takes a lot of energy. Burning hydrocarbon fuel is not efficient way of getting the energy.
It causes pollution and release carbon dioxide into the air, which causes global warming. This presentation tries to address both of the problem, low efficiency of conversion and the global warming, the efficiency of electrochemical energy converging by fuel cell is much higher than any account conversion process for high temperature PCL the efficiency is 3 times of that for combustion engine. Fearing feeling a few cell with hydrogen eliminate carbon dioxide emission and combustion by product that causes air pollution.
When you hydrogen in a turbine engine can't also power an airplane without carbon dioxide emission.
However, the efficiency is low and it emits nitrogen oxide.
The prototype, the volumetric energy density of liquid hydrogen, is about 1/4 of hydrocarbon fuel.
The low efficiency of burning hydrogen means a much larger fuel tank and or a short flighting distance.
it is the importance into the air and contributing to global warming, the high energy efficiency of fuel may offset the lower energy density of hydrogen.
Therefore comparable few compare size of fuel tank can be used for similar flying distance of country airplane. You're placing.
Engine with a highly efficient fuel cell is a great option.
It means the size of fuel tank and the frying range of current airplane and also completely eliminated the imaging their causes, global warming and protect air. The Department of Energy is developing high temperature paint fusia for ground transportation, especially for heavy duty vehicle.
The pitch this piece is for developing the similar technology for aviation.
The developments are where you focus on material specific for aviation application, such as membranes, electrodes, membrane electrode assembly and other stack components to measure the progress of this activity.
High temperature pain, fuel cell stacks and system will be tested under the aviation load profile. The result will be used to modify and optimize fuel cell system for aviation application.
The results are important for the design of future policy system for electrified, electrified airplane."
"Hydrogen Fuel Aerogel Storage Tanks (HyFAST)",CAS,Wicked Wild,,High,,"Current challenges to (zero carbon) Hydrogen Aircraft fuel storage development often becomes a materials science/engineering issue. Hydrogen poses challenges related to material compatibility, as it can cause hydrogen embrittlement in certain metals used for cryotanks. This can impact the structural integrity of components over time, necessitating the development of materials that can withstand prolonged exposure to hydrogen. Also, hydrogen is highly flammable, and safety is a paramount concern, especially in the aviation industry. In addition to these materials issues, hydrogen storage also creates a challenge for volume occupation and transport safety.
What if…we could accelerate beyond hydrocarbon fuels by
 improving hydrogen fuel storage, aircraft safety, and efficiency using lightweight polymer aerogels
Utilize porous polymer aerogels as a host system for safer, more efficient hydrogen fuel storage
Incorporate aerogels into the construction of external hydrogen storage tanks for structural enhancement, vibration damping, and fire retardancy
",,"So with this concept, we were looking at a greener, cleaner, more sustainable environment and a lot of times that equates to lowering carbon emissions. And one of the biggest focuses for lowering carbon emissions would be alternative fuels, and hydrogen has gotten.
It's a tremendous amount of attention throughout arrow and commercial industries, and so some of the current challenges to using 0 carbon hydrogen are it's fuel storage capabilities. And so the development often becomes a material science and engineering issue, and having a background in polymer science, I I believe that this could be maybe remedied through some kind of material capable compatibility. Currently, when you're using hydrogen, because of the pressures and temperatures that you have to keep it at, you can often cause embrittlement in certain materials, especially metals that they're currently using for cryo tanks.
So obviously this impacts the structural integrity of the components over time and now you need a you need materials that can withstand prolonged exposure to hydrogen. In addition, some of the other issues with hydrogen high flammability, which is obviously creates a safety concern and also the storage because of the volume occupation. That's necessary pressures and and and everything that involves keeping hydrogen in its liquid form in order for transport.
This created transport safety issue. So what if you could accelerate beyond hydrocarbon fuels by improving hydrogen fuel storage, aircraft safety and efficiency, and to remedy to be a partial remedy for some of these problems that are obvious in in aeronautics, we suggest using lightweight polymer aerogels for storage.

Now one of the biggest reasons why is because if you utilize a porous polymer in especially a porous polymer aerogel as a host system for liquid hydrogen, you create a safer, more efficient hydrogen fuel storage. And also you can incorporate aerogels into the construction of external hydrogen storage storage tanks, which is a big focus for NASA. And you can create a higher structural integrity and enhanced vibration damping and also incorporate certain polymers for fire retardant seem. what you're looking at now is the potential for some multifunction material like aerogels that not only addresses thermal resistance and and chemical capability, but it could offer energy absorption, vibration damping and lightweight structural reinforcement. And especially with external fuel storage and tanks or pads, this can help remedy the volume requirements for storage, especially with transport which is which is an issue, the polymer aerogels just to quickly let you know if if you're that person out there that doesn't know what ardella is, it's a it's a 3 dimensional structure comprised of a network of of self assembled polymer, which results in a very high porosity which we target over 95% large internal surface areas.  it's a nanoscale pore size, which anywhere from 10 to 20 nanometers the actual the picture, which with the fuel tank is the background is an actual error. low density, low thermal conductivity and excellent wedding and storage capabilities and just very quickly.
You can see that it pairs well with liquid propellants that have with these chemically and thermally resistant polymers. The high porosity and nanoscale pore sizes give the advantage of housing a liquid propellant in a way that it can encase it so that it actually appears as a handles like a solid. So no slashing and low boil off, and again the structural integrity of the error gels which we see over 200 megapascal compressive modulus within the external storage tanks can reduce the overall weight and also improve efficiency and safety while expanding volume capability and the range limits of the craft."
How might we cool next gen aircraft?,CAS,Wicked Wild,,High,,"Opportunity:Sustainable aviation is a key initiative for NASA and the world to address climate change and protect the environment. An opportunity is presented to leverage inherent thermal generation in aircraft operation, typically seen as waste, to support electrification efforts and power the next generation of sustainable aviation.
Key Use Cases: Assist with thermal management, structural health monitoring, lighting systems, and de-icing.
Possible Partnerships: Boeing, Pratt & Whitney, Rolls-Royce, Joby, FAA, and more.  ""Wicked-Wild"" Idea: 
Future aircraft will be fully integrated closed-loop systems:
Wasted energy from thermal, motion, and other energy sources will     
        be harvested for secondary functions to:
Enhance electrification and sustainability initiatives
Demonstrate integrated thermal management systems
Enable comprehensive structural health management
Energy harvesting will enable extended operations, reduce cost, reduce strain on systems, provide redundancy, and compliment ongoing sustainability efforts.
Leverage energy harvesting systems to support aircraft functions, optimize operational and energy efficiency through integrated systems, improve safety, and reduce waste.
Energy harvesting technologies and advanced materials are available, along with an opportunity to drive change in advanced air mobility and electrified aircraft propulsion.
",,"I'm talking about heat generation. That's inherent to any process, and specifically in this context, the excess heat generated throughout an aircraft as NASA and countries around the globe look to sustainable aviation to address greener climate and environmental initiatives, we can also shift our perspective on heat generated by engines, batteries and other aircraft components from being a detriment or a flaw to the generated heat being designed feature. Here we have an opportunity to employ energy harvesting as part of an integrated multifunctional system to support our electrification efforts and power the next generation of sustainable aviation, as well as moving a few degrees closer to closing the loop on sustainability. With that, we can address the desirability, viability and feasibility of taking on this opportunity.
As for the desirability, or do they want this energy conversion technology, this technologies as a part of an integrated aircraft system is not a new concept. NASA and companies like Boeing have previously demonstrated interest in the area at the bottom right, doctor Arun Malay of Boeing laid out an aircraft system map to demonstrate the potential of a thermal management system to capture and utilize generated heat, and even now with the the electrification, the aviation batteries introduced a significant source of thermal energy. That one harvested could support secondary systems while simultaneously mitigating and preventing thermal runaway and catastrophic damage. Supported systems could further include comprehensive structural health monitoring, lighting and deicing.
And this all contributes towards energy harvesting, enabling extended operations, reduce costs, reduce strain on systems, providing redundancy and complementing ongoing sustainability efforts. As for viability, or should we do this leveraging integrated energy harvesting? Harvesting systems will support aircraft functions, optimize operational and energy efficiency through integrated systems, improve safety and reduce waste, has for feasibility. Or can we do this? The technologies in advanced materials are available along with an opportunity to drive change in advance air mobility and electrified aircraft propulsion. While they're still in the early stages of development, so with that, though wicked wild idea proposed here is a world where aircraft are multifunctional, fully integrated closed loop systems possibly. Imagine the nervous system of a body completely connected and optimized to regulate temperature and subsystem functions and aviation wasted energy from thermal motion and other energy sources will be harvested for secondary functions to enhance electrification and sustainability initiatives. Demonstrate integrated thermal management systems and enable comprehensive structural health management and we here at NASA have the multidisciplinary expertise needed to solve this challenge and make an impactful change to the state of green aviation.

"
How might we improve temperature monitoring for electrified vehicles using Optical Fiber?,CAS,Wicked Wild,,Super High,,"Electrified Air Mobility Vehicles can reduce carbon emission currently facing aerospace industry
Currently Air transportation is around 2% of overall carbon emission
But since vehicle emit carbon high in the sky, it’s causing 5% of global warming effect
Two types of electrify vehicle – both has a temperature issue
Battery-Electric vehicle – traditional battery utilizing Li-Ion based chemistry, where precise battery health (via temperature monitoring) is critical to the vehicle.
Hydrogen Fuel-Cell Vehicle – By converting on-board hydrogen fuel into electricity via fuel-cell technology, the power-density of such vehicle is greater than battery-electric vehicle
Temperature distribution across the fuel cell is critical for vehicle health
Temperature monitoring across LH2 fuel line to ensure no leakage
Overall temperature monitoring of electric vehicle
Either battery of fuel-cell generate high current, needed for electric motors to function, and these high current wiring needs active cooling for vehicle safety operation. Wicked Wild Pitch
Optical Fiber for electric-vehicle temperature sensing
Completely Optical – Won’t cause or affected by EMI
High Spatial Density – multiple sensors cascaded onto one fiber for FEM level temperature gradient monitoring",,"Today I want to propose the idea of using optical fiber for temperature sensing for electric 5 vehicles. Right now I wanna paint the point that air transportation is is a significant amount of carbon emission for for the aerospace industry and aerospace for for aeronautics. Basically, they want to reduce the carbon emission and one of the great ways of doing this is electric file. The aircraft vehicle.
Uh, but, but in order to do that, transition that into electrified vehicle, there is a lot of obstacles. First of all, the if you are doing a short term, kind of like a short range flight, you're looking at a battery. Electric vehicles, which are traditional using a lithium ion battery chemistry, but then these are different than electrical vehicles. When when you have a a runaway, then on lithium ion battery you can just pull over and get out of the car. But if you are on the middle of a flight, that's that's really not ideal. So so you would want to have a a system to monitor whenever you have a better resell that is not performing well with elevated temperatures you you can have active way to monitoring and now go into the other way if you want to do a long term long haul transportation. One of the ways that that a lot of aerospace company i.e.
Airbuses is is working on is hydrogen fuel cell vehicle where you use hydrogen as a fuel source and then you use the fuel cell in order to to sustain the the airplane for for long haul transportation.
Now you now you have a new type of fuel with hydrogen.
You have to liquefy the hydrogen and you would need some sort of way to have the high spatial density in order to measure the the the the temperature level across the liquid hydrogen and then the the the fuel line of the liquid hydrogen. So so for the future aircraft, we could now you you want to get to a way to to monitor temperature. So the pitch that I wanna make is we already have fiber optic sensing technology that has a high spatial density and good thing about the fiber is completely optical.
It won't cause or affect by electromagnetic interference that that the X57 team at Armstrong has been experiencing and just the proposal.
Now you can use these optical fiber to integrate it into your high current wire that gave a lot of heat. So you you can use it to monitor battery.
You can use it to monitor the wires that you have on to your airplane. So so that you have proof of confidence that you won't have a runaway effect and you would have a new paradigm shift in sensing suite that you instead of doing like a specific discrete point onto some layers of your wire.
Now you have you you have a temperature distribution every half inch interval across your your airplane."
MISTRAL - Multiscale Intelligent System for TRAcking & Localization of Emissions,CAS,X1,,Medium,,"Persistent monitoring and localization radically curtails release of GHG at large oil-and-gas production sites and other focused release areas because many emissions are due to failure in equipment, such as leaks and undetected cessation of burn-off.
Inform emittersand enable optimal solution to GHG emission: prevention at the source.
Dynamic: No expensive ground installations; no cost of dismantling; in place on time.
Versatile: Handle a broad range of emitters, human-made and natural; operate at optimal proximity; autonomous system uses state-of-the-art components. Develop affordable, ecologically sustainable, persistent, multiscale, autonomous airborne system for monitoring and localization of emissions over large areas of heterogeneous emitters, with primary focus on oil and gas production sites, such as the Permian Basin, with the area of 86,000 mi2.

",,
SPRUCE - Sustainably-powered Planetary RejUvenation via Carbon Entrapment,CAS,X1,,Medium,,"Enabling a sustainably powered scalable GHG sequestration system that can be implemented onto aircraft for direct air capture
• Sustainably capture C using renewable energy.
• Use renewable energy, minimal water, and sunlight to generate a beneficial product
• Solution can be implemented quickly and in stages achieving fast impact
• Address stationary, dynamic, and emergent emitters including those that arise from
human-made or natural disasters.",,
SUMAC - Sustainable Manufacturing of Aircraft,CAS,X1,,Medium,,"Aircraft manufacturers need sustainably-derived thermoplastic composites in order to build environmentally-friendly aircraft considering full lifecycle so that the environmental impact of commercial air transport is reduced.
Identify candidate fiber materials
Determine environmental impact of agricultural burden
Identify target application space
Define best qualified organizations to perform each research thrust
",,
Coastal airports are susceptible to climate impacts,CAS,Discovery: Powering Sustainable Airports,,,,"Engineer multi-layered, adaptive infrastructures that serve as both airports and coastal defense structures, dynamically responding to changing sea levels.",,
Airports and airplanes generate carbon emissions,CAS,Discovery: Powering Sustainable Airports,,,,,,
Remote access and disaster readiness are often lacking,CAS,Discovery: Powering Sustainable Airports,,,,Develop pop-up airport capabilities with rapid-deployment infrastructure for emergency response and remote operations.,,
Airport economics and uses are limited,CAS,Discovery: Powering Sustainable Airports,,,,"Diversify airport revenues by incorporating vertical farming, data collection models, recreational areas, and cultural centers, to boost local economies.",,
Airports are not energy self-sufficient,CAS,Discovery: Powering Sustainable Airports,,,,"Install kinetic energy harvesters in floors and walkways, use biofuels derived from airport waste, other internal systems to power operations.",,
Energy-intensive terminal heating and cooling,CAS,Discovery: Powering Sustainable Airports,,,,Construct bio-responsive building facades that adjust insulation and venting properties in response to changing weather.,,
Energy use is poorly-distributed,CAS,Discovery: Powering Sustainable Airports,,,,"Implement distributed energy grids with power storage that cater to variable demands and support electric air transport. Charging / relay stations, natch.",,
Existing runways exacerbate wasted energy,CAS,Discovery: Powering Sustainable Airports,,,,Implement maglev runway capabilities for less friction and energy use,,
Fixed airport layouts hinder expansion,CAS,Discovery: Powering Sustainable Airports,,,,"Create modular, reconfigurable (prefabricated, lightweight, and movable) components for rapid adaptation to technological advancements.",,
The economic and cultural disconnect between city and airport,CAS,Discovery: Powering Sustainable Airports,,,,Integrate urban farming and airport community marketplaces at the airport periphery to foster local engagement.,,
Runway operations lack energy efficiency,CAS,Discovery: Powering Sustainable Airports,,,,"Integrate energy-harvesting materials (i.e., piezoelectric energy generators) into runway construction that power airfield systems.",,
Airfield surfaces are susceptible to environmental damage,CAS,Discovery: Powering Sustainable Airports,,,,Engineer a range of different sized capacity repair drones that maintain self-repairing runways (bio-concrete and materials that respond to weather changes).,,
Emissions from aircraft during taxiing,CAS,Discovery: Powering Sustainable Airports,,,,"Pioneer electric tow vehicles that operate autonomously to move aircraft from gates to runways, cutting emissions and saving fuel.",,
Power generation models may not be sold publicly,CAS,Discovery: Powering Sustainable Airports,,,,"Deploy blockchain arbitrage among airport networks, a distributed ledger system for energy credits, for inter-airport sales and power distribution.",,
Airport power monopolies lead to inefficiencies,CAS,Discovery: Powering Sustainable Airports,,,,"Establish micro-grid ecosystems, allowing for peer-to-peer energy networks that learn and predict airport energy flows, dynamically reallocating resources.",,
"Likely to be a period with multiple aviation fuel types in use (jet-A, SAF, LH2, etc.)",CAS,Discovery: Powering Sustainable Airports,,,,"Build water-fall distillation of fuel types for circular economy, supporting a diverse fuel ecosystem for different types of aircraft and vehicles.",,
Hydrogen-based fuels are a leading zero carbon (not just net zero) aviation fuel alternative,CAS,Discovery: Powering Sustainable Airports,,,,"Deploy an energy matrix that includes wind, solar, maritime, geomimetic and kinetic generators to provide a robust mix of on-site renewable sources.",,
Hydrogen-based fuels are a leading zero carbon (not just net zero) aviation fuel alternative,CAS,Discovery: Powering Sustainable Airports,,,,Implement modular nuclear reactors using molten salt and fusion (on-site ammonia synthesis plants for energy storage for higher volumetric energy density).,,
"Power infrastructures (e.g., fission) have low public acceptance",CAS,Discovery: Powering Sustainable Airports,,,,"Create transparent, interactive displays and real-time dashboards to educate the public on energy initiatives and invite community participation.",,
Solar power (panels) require large amounts of land,CAS,Discovery: Powering Sustainable Airports,,,,"Innovate dual-purpose solar technologies (i.e., photovoltaic noise barriers, solar windbreakers) that serve multiple functions without consuming land.",,
Current fossil fuel reserves incentivize ongoing / future use,CAS,Discovery: Powering Sustainable Airports,,,,"Deploy a citizen-driven energy collection (crypto) for compensation which invests in airport renewable energy, decarbonization and reforestation projects.",,
Peak power demand strains grids (arbitrage notes above),CAS,Discovery: Powering Sustainable Airports,,,,"Use AI-driven demand response systems to balance energy loads and integrate vehicles with power grids, flywheels and flow batteries.",,
Energy transmission losses over distance (less than 1km),CAS,Discovery: Powering Sustainable Airports,,,,"Utilize localized, point-of-use energy generation to reduce transmission distances (at parking lots and buildings using building-integrated photovoltaics).",,
The environmental impact of fuel storage,CAS,Discovery: Powering Sustainable Airports,,,,"Construct below-ground, temperature-controlled fuel storage solutions that minimize evaporation losses and reduce land use.",,
Limited use of renewable energy in airside operations,CAS,Discovery: Powering Sustainable Airports,,,,"Develop mobile charging stations (solar, wind, piezeolectric or other), storage and transmission systems, automated for airside equipment ops.",,
Battery Pack Modelling,TTT,Green Aviation Solicitation,2023,,,"Battery Pack Modelling Proposal Electro-Chemical & Structural-Thermal pack modelling proposal for TTT / Green Aviation Call, 2023 1) Problem, Objectives, Approach, and Anticipated Benefits: Many of novel aircraft concepts include some degree of electrification to reduce carbon footprint. To date, the battery models that have been able to be incorporated into NASA aircraft preliminary design studies such as the quadrotor0F 1 have been cell-level models1F 2, with knockdown factors for pack-level effects. There is an interest from EPFD, TTT, AATT, and other projects, in being able to more accurately model and optimize pack-level structural and thermal effects in addition to the cell-level effects. However, to date, there was no clear path on how this could be accomplished while still being compatible with cutting edge gradient-based aircraft optimization tools like OpenMDAO2F 3 and Aviary3F 4. The objective of this research proposal is to create an open-source battery pack model that includes cell electro-chemical effects as well as pack-level structural-thermal effects. The resulting model will be differentiable to ensure compatibility with OpenMDAO and Aviary. Our approach is to create a multi-center team and use open-source tools that we are already familiar with to create a system-level battery pack design. Figure 1 shows an Extended Design Structure Matrix (XDSM) diagram that details of how each of the component disciplines fits together to make the overall battery-pack model. In Figure 1, Discharge curves from cell-tests are input into the cell electro-chemical model which allows for the configuration of the parameters of the cell and later analysis. The cell electro-chemical effects based on models from ProgPy4F 5. A CAD model of the pack (multiple cells) is then created and imported along with the number of packs into the structural-thermal model TACS5F 6. The TACS software performs structural analysis to evaluate the mass of the pack as well as configure parameters for use later in the analysis. At this point the battery pack will be run through a sample mission which will primarily consist of pulling a specified quantity of amps at a particular voltage from the system over a given amount of time. During the mission, the cell electro-chemical model will keep track of the state of charge and voltage of the cells. TACS will keep track of the temperature throughout the pack subject to the heat produced by each cell and a assuming a constant cooling flow. Figure 2 (left) shows an example compliant battery pack designed and (right) a TACS structural-thermal pack model. Both of these models were designed by team members on this proposal. ",,
Effects of Atmospheric Conditions and Sustainable Fuels on Contrail Radiative Forcing,TTT,Green Aviation Solicitation,2023,,,"Executive summary
Contrails create about two-thirds of aviation’s contribution to climate change. To guarantee the success
of contrail mitigation strategies such as flight altitude changes, the sensitivity of contrail optical depth to
atmospheric parameters must be quantified with the associated uncertainty. Additionally, impact from
both SAF and hydrogen needs to be studied: Are future aviation fuels more or less prone to contrails?
We address these concerns by applying modeling, simulation, and uncertainty quantification (UQ) to
contrails to assess and reduce the aviation’s impact on global warming.
",,
