Prompt,Source,Maturity,Description,Transcript
How might we enable trust in AI/ML applications and development,Wicked Wild,Low,"AI/ML was not originally designed for adversarial contexts, yet AI/ML systems are very attractive targets [1]. An IEEE survey from May 2020 found that practitioners report a dire need for better protecting machine learning systems in industrial applications [2]. A 2019 Gartner report found that application leaders must anticipate and prepare to mitigate potential risks of data corruption, model theft, and adversarial samples [3]. AI/ML systems are vulnerable to adversarial attacks across development, deployment, and inference. Enabling technologies: Public-key Encryption, Digital Signatures, Zero-knowledge Proofs, Homomorphic Encryption, etc..
Characteristics that build trust: AI/ML systems should enforce honest behavior through cryptographic tools while maintaining privacy. Development of verifiable A/ML standards and regulations that rely on cryptographic guarantees to replace trust in companies.
Use cases:
Zero-Knowledge Machine Learning (ZKML)
Problem: How to validate AI/ML accuracy of services on a public data set without exposing model weights and providing assurances related to training data
Solution: Zero Knowledge proofs
Proof of Inference
Problem: How to verify that an AI/ML service provider is running inference on the proper model and not cheaper model 
(e.g. how to verify openAI is giving you results from chatGPT-4 and not chatGPT-3?) without exposing weights. Implications for 
AI/ML certification (e.g. how to verify model predictions are from certified model without exposing weights).
Solution: Zero Knowledge proofs
Privacy Preserving ML
Problem: How to train AI/ML models with sensitive data at large data centers while ensuring privacy 
Solution: Fully Homomorphic Encryption (FHE) enabling compute on encrypted data
Data Provenance in Pipelines
Problem: How to ensure that data inputs (e.g. images from a camera) are not compromised from attackers or pipelines
Solution: Hardware attestation and provenance to ensure the integrity and trustworthiness of hardware components and data
""Wicked-Wild"" Idea: 
Cryptographic primitives can be combined with AI/ML development and applications to provide strong guarantees across 
data pipelines, model development, model validation, and inference while maintaining privacy [1].

Source: [1] ’Constructing Trust (or confirming Distrust) using Cryptographic Paradigms’, Shafi Goldwasser (Director of the Simons Institute for the Theory of Computing, Professor; UC Berkeley).
Source: [2] Kumar, Ram Shankar Siva, et al. ""Adversarial machine learning-industry perspectives."" 2020 IEEE security and privacy workshops (SPW).
Source: [3] ‘Anticipate Data Manipulation Security Risks to AI Pipelines’, Gartner Research, Feb 2019.
","the context for today's presentation is that AI ML was not originally designed for adversarial contexts, yet AIML systems remain very attractive targets for these kind of adversarial attacks. So industry has kind of been looking at this and we I put here some examples where an IEEE survey from May 2020 found that practitioners report a dire need for better protecting machine learning systems in industrial applications. And similarly, a 2019 Gartner report found that application leaders must anticipate and prepare to mitigate potential risks of data corruption, model theft and adversarial examples.
So the key idea here is that AI ML systems are vulnerable to these adversarial attacks across the entire life cycle of development, deployment and inference. So you know, the idea here is that there's this intersection of AI, ML, and cryptography, and there's many different kind of business sectors that live at this intersection.
And we can kind of leverage some of these enabling technologies from cryptography such as public key encryption, data signature, zero knowledge proofs, homomorphic encryption. And there's all these other ones as well. And so the idea is that leveraging these kind of cryptographic primitives would enable us to build trust in systems and enforce good behavior as opposed to relying on trusting some entity or company or third party. So characteristics that build trust in these systems are that AI Mel systems should enforce honest behavior through cryptographic tools while maintaining privacy.
And that's a big key. Their privacy and that, you know, the idea here is that development of verifiable AIML standards and regulations that rely on these cryptographic guarantees can replace trusting companies.
So some simple examples just to give some intuition behind the ideas here is that you know, everybody's probably used open AI's chat GPT. So when you send a request to chat GPT, how do you know that the answer you get back is from the correct model?
So say that you're a subscriber to their premium service. You pay $10.00 a month to get access to chat GPT 4 when open AI returns their response. How do you know that they're running inference on chat GPT 4 as opposed to a cheaper model that might be more kind of profitable from a business perspective? Well, the answer is that you don't know you are putting trust in open AI to do the right thing. So some the examples here of different use cases are one that I just talked about here was the 2nd bullet, which is proof of inference. So the idea there is that, you know, you can leverage some of these cryptographic tools to validate or verify that you ran inference on the correct model. Some other use cases are, you know, let's say a company says, hey, I have some machine learning model, it was this accurate. How do you how do you verify that their performance on some data set is what they claim, while in both those situations you can use these cryptographic tools called 0 knowledge proofs?
There's other tools that you can use, such as fully homomorphic encryption, that enable privacy preserving mill so you can do the idea there is you can encrypt data, send to a large data center, do compute on your encrypted data and get back the answer that you had to begin with. And then now there's some other ideas about kind of by hardware attestation and provenance to ensure integrity of data that are running through your pipelines. So ultimately the wicked wild idea here is that cryptographic primitives can be combined with a aiml development and applications to provide strong guarantees across data pipelines, model development, model validation and inference while maintaining privacy."
How might we improve airborne communication with Vortex Beam Communication for Interference Mitigation?,Wicked Wild,High,"Opportunity:
Desirability: We are addressing the spectrum scarcity problem in the context of Advanced Air Mobility (AAM).
Viability: Our solution makes use of a spatial filtering technique, which we are currently demonstrating in the laboratory under an existing NASA project aimed at low Earth orbit (LEO) to terrestrial communication.
Feasibility: Adoption of our method will require some changes to communication infrastructure; however, the ability to communicate in the presence of in-band interference could change the paradigm of unmanned aerial vehicle (UAV) communication standards.
Key Use Cases: Any case involving line-of-sight communication links that cannot take advantage of multiple-input and multiple-output (MIMO) schemes, which rely on multipath propagation.
Possible Partnerships: Florida International University, University of Akron, Xadite Perceptions, Department of Defense (DoD)

“Wicked-Wild” Idea:
Exploit the orthogonality of vortex beams to allow for simultaneous usage of specific portions of the radio frequency (RF) spectrum.
Isolate data channels using spatial-domain filtering techniques as opposed totraditional frequency-filtering techniques.
Increase data transfer volume by using multiple vortex beams of the same carrier frequency.
","thank you so advanced air mobility or ATM is the future of air transportation that explores the development of new technologies to revolutionize airspace usage and is a rapidly developing field that will include low altitude passenger transport, cargo delivery and public service capabilities. However, because the radio spectrum is a limited resource to increase of aircraft in the air, space raises concerns about potential interference with aviation communication.
This increased disruption of critical communication and navigation signals can be caused by a variety of factors, both internal and external, to aviation systems.
In severe cases, radiofrequency or RF interference caused by unintentional emissions or deliberate jamming can lead to important safety risks.
Here is how vortex beam communication stands as a promising solution to interference mitigation in the context of AM are are at vortex harnesses, an underutilized property of radio waves.
Their orbital angular momentum or OEM, the angular momentum of an of an electromagnetic or yam wave is composed of two parts, spin angular momentum corresponding to depolarization of the emwave and orbital angular momentum OAM associated to the spatial distribution of the EM wave. This integer value defines the number of helical terms the wavefront makes around the propagation axis.
By tailoring the antenna ray to generate a desired oil mode, say plus one, we can transmit a targeted beam.
Only receiver is equipped to detect the plus one mode will be able to decode the information.
Now visualized data traveling on an invisible highway for each lane is defined by distinct helical twist in the signal itself.
This twist, characterized by the OEM, forms the foundation for a powerful technique known as spatial multiplexing, which allows for the transmission of multiple independent data streams on the same frequency.
By utilizing the spatial domain, we overcome interference limitations inherent to current RF systems.
The orthogonality of OAM modes unlocks a dramatic increase in data capacity for applications previously limited by bandwidth constraints.
But beyond share capacity Re Vortex offers unique addressing capabilities.
Each OEM mode has a specific topological charge acting as its unique identifier or fingerprint.
Imagine beams with charges, for example plus one and -2.

In crowded environments with many RF signals.
OEM filtering allows receivers to focus on their specific OEM fingerprint, ignoring irrelevant signals and thus reducing interference while enabling targeted information delivery with high signal to noise ratio and accuracy.
Overall, encoding data on OEM modes consists of an information signal modulating the electric field of the RF wave.
By carefully manipulating the phase distribution across the wavefront, thus creating specific OEM modes carrying the encoded data, the then multiple OEM modes carrying different data streams can be superimposed and transmitted together.
Specialized antenna arrays at the receiving end can then separate these modes based on their unique face patterns, all of which makes this vortex beam communication technology hold the key to reshaping the way the data is transferred and interference mitigated in a soon to be crowded airspace."
How might we eliminate carbon emissions with High-temperature PEM Fuel Cell for Aviation?,Wicked Wild,High,"Opportunity: 1) To eliminate CO2 emission 2) To triple energy efficiencyCO2 production by hydrocarbon fueled aircraft that contributes to global warming is expected to triple by 2050. Continuing to fuel aircraft with hydrocarbons is not sustainable. 
Replacing hydrocarbon fuel with H2 eliminates CO2 emission. Joint NACA/NASA - Air Force projects Bee and Suntan successfully flew a B-57B twin-engine bomber using liquid hydrogen (LH2),  and successfully fueled MW-scale aircraft engines (CW J-65 and P&W M304) using LH2 in the 1950s.
Because LH2 volumetric energy density is 25% of jet fuel, H2 powered aircraft requires a much larger fuel tank. Replacing the combustion process with higher energy efficiency fuel cell electrochemical reaction may offset the lower LH2 energy density. The current PEM fuel cell energy efficiency (~50%) is ~2X an internal combustion engine. The estimated efficiency of high temperature PEM fuel cell (HT PEM FC) is >70%. The DOE is developing HT-PEM technologies for heavy duty vehicles but excludes considerations specific to aviation. 
""Wicked-Wild"" Idea: Develop HT-PEM technology for aviation
Using HT-PEM fuel cells to power electric aircraft eliminates CO2 emissions while sustaining timely, long-distance travel capability. 
Develop HT-PEM fuel cell materials specifically for aviation 
Focus on membranes, electrodes, and membrane electrode assemblies (MEA)
Include other stack components as opportunities allow
Test HT-PEM fuel cell materials, single cells, and cell stacks under aviation load profiles (high-power flight condition for take off and climb, low ambient air temperature and very dry air at high elevation, etc.)
Demonstrate HT-PEM FC energy efficiency and CO2 emission reductions","the pitch is high temperature PEM Fuel cell for aviation.
Flying Airplane takes a lot of energy. Burning hydrocarbon fuel is not efficient way of getting the energy.
It causes pollution and release carbon dioxide into the air, which causes global warming. This presentation tries to address both of the problem, low efficiency of conversion and the global warming, the efficiency of electrochemical energy converging by fuel cell is much higher than any account conversion process for high temperature PCL the efficiency is 3 times of that for combustion engine. Fearing feeling a few cell with hydrogen eliminate carbon dioxide emission and combustion by product that causes air pollution.
When you hydrogen in a turbine engine can't also power an airplane without carbon dioxide emission.
However, the efficiency is low and it emits nitrogen oxide.
The prototype, the volumetric energy density of liquid hydrogen, is about 1/4 of hydrocarbon fuel.
The low efficiency of burning hydrogen means a much larger fuel tank and or a short flighting distance.
it is the importance into the air and contributing to global warming, the high energy efficiency of fuel may offset the lower energy density of hydrogen.
Therefore comparable few compare size of fuel tank can be used for similar flying distance of country airplane. You're placing.
Engine with a highly efficient fuel cell is a great option.
It means the size of fuel tank and the frying range of current airplane and also completely eliminated the imaging their causes, global warming and protect air. The Department of Energy is developing high temperature paint fusia for ground transportation, especially for heavy duty vehicle.
The pitch this piece is for developing the similar technology for aviation.
The developments are where you focus on material specific for aviation application, such as membranes, electrodes, membrane electrode assembly and other stack components to measure the progress of this activity.
High temperature pain, fuel cell stacks and system will be tested under the aviation load profile. The result will be used to modify and optimize fuel cell system for aviation application.
The results are important for the design of future policy system for electrified, electrified airplane."
"Hydrogen Fuel Aerogel Storage Tanks (HyFAST)",Wicked Wild,High,"Current challenges to (zero carbon) Hydrogen Aircraft fuel storage development often becomes a materials science/engineering issue. Hydrogen poses challenges related to material compatibility, as it can cause hydrogen embrittlement in certain metals used for cryotanks. This can impact the structural integrity of components over time, necessitating the development of materials that can withstand prolonged exposure to hydrogen. Also, hydrogen is highly flammable, and safety is a paramount concern, especially in the aviation industry. In addition to these materials issues, hydrogen storage also creates a challenge for volume occupation and transport safety.
What if…we could accelerate beyond hydrocarbon fuels by
 improving hydrogen fuel storage, aircraft safety, and efficiency using lightweight polymer aerogels
Utilize porous polymer aerogels as a host system for safer, more efficient hydrogen fuel storage
Incorporate aerogels into the construction of external hydrogen storage tanks for structural enhancement, vibration damping, and fire retardancy
","So with this concept, we were looking at a greener, cleaner, more sustainable environment and a lot of times that equates to lowering carbon emissions. And one of the biggest focuses for lowering carbon emissions would be alternative fuels, and hydrogen has gotten.
It's a tremendous amount of attention throughout arrow and commercial industries, and so some of the current challenges to using 0 carbon hydrogen are it's fuel storage capabilities. And so the development often becomes a material science and engineering issue, and having a background in polymer science, I I believe that this could be maybe remedied through some kind of material capable compatibility. Currently, when you're using hydrogen, because of the pressures and temperatures that you have to keep it at, you can often cause embrittlement in certain materials, especially metals that they're currently using for cryo tanks.
So obviously this impacts the structural integrity of the components over time and now you need a you need materials that can withstand prolonged exposure to hydrogen. In addition, some of the other issues with hydrogen high flammability, which is obviously creates a safety concern and also the storage because of the volume occupation. That's necessary pressures and and and everything that involves keeping hydrogen in its liquid form in order for transport.
This created transport safety issue. So what if you could accelerate beyond hydrocarbon fuels by improving hydrogen fuel storage, aircraft safety and efficiency, and to remedy to be a partial remedy for some of these problems that are obvious in in aeronautics, we suggest using lightweight polymer aerogels for storage.

Now one of the biggest reasons why is because if you utilize a porous polymer in especially a porous polymer aerogel as a host system for liquid hydrogen, you create a safer, more efficient hydrogen fuel storage. And also you can incorporate aerogels into the construction of external hydrogen storage storage tanks, which is a big focus for NASA. And you can create a higher structural integrity and enhanced vibration damping and also incorporate certain polymers for fire retardant seem. what you're looking at now is the potential for some multifunction material like aerogels that not only addresses thermal resistance and and chemical capability, but it could offer energy absorption, vibration damping and lightweight structural reinforcement. And especially with external fuel storage and tanks or pads, this can help remedy the volume requirements for storage, especially with transport which is which is an issue, the polymer aerogels just to quickly let you know if if you're that person out there that doesn't know what ardella is, it's a it's a 3 dimensional structure comprised of a network of of self assembled polymer, which results in a very high porosity which we target over 95% large internal surface areas.  it's a nanoscale pore size, which anywhere from 10 to 20 nanometers the actual the picture, which with the fuel tank is the background is an actual error. low density, low thermal conductivity and excellent wedding and storage capabilities and just very quickly.
You can see that it pairs well with liquid propellants that have with these chemically and thermally resistant polymers. The high porosity and nanoscale pore sizes give the advantage of housing a liquid propellant in a way that it can encase it so that it actually appears as a handles like a solid. So no slashing and low boil off, and again the structural integrity of the error gels which we see over 200 megapascal compressive modulus within the external storage tanks can reduce the overall weight and also improve efficiency and safety while expanding volume capability and the range limits of the craft."
How might we cool next gen aircraft?,Wicked Wild,High,"Opportunity:Sustainable aviation is a key initiative for NASA and the world to address climate change and protect the environment. An opportunity is presented to leverage inherent thermal generation in aircraft operation, typically seen as waste, to support electrification efforts and power the next generation of sustainable aviation.
Key Use Cases: Assist with thermal management, structural health monitoring, lighting systems, and de-icing.
Possible Partnerships: Boeing, Pratt & Whitney, Rolls-Royce, Joby, FAA, and more.  ""Wicked-Wild"" Idea: 
Future aircraft will be fully integrated closed-loop systems:
Wasted energy from thermal, motion, and other energy sources will     
        be harvested for secondary functions to:
Enhance electrification and sustainability initiatives
Demonstrate integrated thermal management systems
Enable comprehensive structural health management
Energy harvesting will enable extended operations, reduce cost, reduce strain on systems, provide redundancy, and compliment ongoing sustainability efforts.
Leverage energy harvesting systems to support aircraft functions, optimize operational and energy efficiency through integrated systems, improve safety, and reduce waste.
Energy harvesting technologies and advanced materials are available, along with an opportunity to drive change in advanced air mobility and electrified aircraft propulsion.
","I'm talking about heat generation. That's inherent to any process, and specifically in this context, the excess heat generated throughout an aircraft as NASA and countries around the globe look to sustainable aviation to address greener climate and environmental initiatives, we can also shift our perspective on heat generated by engines, batteries and other aircraft components from being a detriment or a flaw to the generated heat being designed feature. Here we have an opportunity to employ energy harvesting as part of an integrated multifunctional system to support our electrification efforts and power the next generation of sustainable aviation, as well as moving a few degrees closer to closing the loop on sustainability. With that, we can address the desirability, viability and feasibility of taking on this opportunity.
As for the desirability, or do they want this energy conversion technology, this technologies as a part of an integrated aircraft system is not a new concept. NASA and companies like Boeing have previously demonstrated interest in the area at the bottom right, doctor Arun Malay of Boeing laid out an aircraft system map to demonstrate the potential of a thermal management system to capture and utilize generated heat, and even now with the the electrification, the aviation batteries introduced a significant source of thermal energy. That one harvested could support secondary systems while simultaneously mitigating and preventing thermal runaway and catastrophic damage. Supported systems could further include comprehensive structural health monitoring, lighting and deicing.
And this all contributes towards energy harvesting, enabling extended operations, reduce costs, reduce strain on systems, providing redundancy and complementing ongoing sustainability efforts. As for viability, or should we do this leveraging integrated energy harvesting? Harvesting systems will support aircraft functions, optimize operational and energy efficiency through integrated systems, improve safety and reduce waste, has for feasibility. Or can we do this? The technologies in advanced materials are available along with an opportunity to drive change in advance air mobility and electrified aircraft propulsion. While they're still in the early stages of development, so with that, though wicked wild idea proposed here is a world where aircraft are multifunctional, fully integrated closed loop systems possibly. Imagine the nervous system of a body completely connected and optimized to regulate temperature and subsystem functions and aviation wasted energy from thermal motion and other energy sources will be harvested for secondary functions to enhance electrification and sustainability initiatives. Demonstrate integrated thermal management systems and enable comprehensive structural health management and we here at NASA have the multidisciplinary expertise needed to solve this challenge and make an impactful change to the state of green aviation.

"
How might we improve temperature monitoring for electrified vehicles using Optical Fiber?,Wicked Wild,Super High,"Electrified Air Mobility Vehicles can reduce carbon emission currently facing aerospace industry
Currently Air transportation is around 2% of overall carbon emission
But since vehicle emit carbon high in the sky, it’s causing 5% of global warming effect
Two types of electrify vehicle – both has a temperature issue
Battery-Electric vehicle – traditional battery utilizing Li-Ion based chemistry, where precise battery health (via temperature monitoring) is critical to the vehicle.
Hydrogen Fuel-Cell Vehicle – By converting on-board hydrogen fuel into electricity via fuel-cell technology, the power-density of such vehicle is greater than battery-electric vehicle
Temperature distribution across the fuel cell is critical for vehicle health
Temperature monitoring across LH2 fuel line to ensure no leakage
Overall temperature monitoring of electric vehicle
Either battery of fuel-cell generate high current, needed for electric motors to function, and these high current wiring needs active cooling for vehicle safety operation. Wicked Wild Pitch
Optical Fiber for electric-vehicle temperature sensing
Completely Optical – Won’t cause or affected by EMI
High Spatial Density – multiple sensors cascaded onto one fiber for FEM level temperature gradient monitoring","Today I want to propose the idea of using optical fiber for temperature sensing for electric 5 vehicles. Right now I wanna paint the point that air transportation is is a significant amount of carbon emission for for the aerospace industry and aerospace for for aeronautics. Basically, they want to reduce the carbon emission and one of the great ways of doing this is electric file. The aircraft vehicle.
Uh, but, but in order to do that, transition that into electrified vehicle, there is a lot of obstacles. First of all, the if you are doing a short term, kind of like a short range flight, you're looking at a battery. Electric vehicles, which are traditional using a lithium ion battery chemistry, but then these are different than electrical vehicles. When when you have a a runaway, then on lithium ion battery you can just pull over and get out of the car. But if you are on the middle of a flight, that's that's really not ideal. So so you would want to have a a system to monitor whenever you have a better resell that is not performing well with elevated temperatures you you can have active way to monitoring and now go into the other way if you want to do a long term long haul transportation. One of the ways that that a lot of aerospace company i.e.
Airbuses is is working on is hydrogen fuel cell vehicle where you use hydrogen as a fuel source and then you use the fuel cell in order to to sustain the the airplane for for long haul transportation.
Now you now you have a new type of fuel with hydrogen.
You have to liquefy the hydrogen and you would need some sort of way to have the high spatial density in order to measure the the the the temperature level across the liquid hydrogen and then the the the fuel line of the liquid hydrogen. So so for the future aircraft, we could now you you want to get to a way to to monitor temperature. So the pitch that I wanna make is we already have fiber optic sensing technology that has a high spatial density and good thing about the fiber is completely optical.
It won't cause or affect by electromagnetic interference that that the X57 team at Armstrong has been experiencing and just the proposal.
Now you can use these optical fiber to integrate it into your high current wire that gave a lot of heat. So you you can use it to monitor battery.
You can use it to monitor the wires that you have on to your airplane. So so that you have proof of confidence that you won't have a runaway effect and you would have a new paradigm shift in sensing suite that you instead of doing like a specific discrete point onto some layers of your wire.
Now you have you you have a temperature distribution every half inch interval across your your airplane."
How might aviation support or provide regenerative tourism?,GeoEngineering,Low,,
How might quality of life inprove for senior citizens by self-driving vehicles?,GeoEngineering,Low,,
"How are prisons and their population susceptible to climate change conditions and if so what are the implications wrt moving them, saving them, etc?",GeoEngineering,Low,,
In some places/cases Prison Population augment workforce (with their own unique caveats); How would a reduction on said work force impact X?,GeoEngineering,Low,,
Will these populations be able to adapt in time either by adapting to limited clean water conditions or reversing same conditions?  Or will they then be confronted with a migration or die scenario?  And what impact will an adapting to less clean water available conditions have on the population?,GeoEngineering,Low,,
"How will urbanization in Africa look different than urbanization on other continents, and what will be the economic and political impact?",GeoEngineering,Low,,
"How might the rise of trash villages improve economics for ""slum residents"" via innovation in recycling and entreprenuership?",GeoEngineering,Low,,
"Could (and how) the evolving Africa needs be used as both an incubator and lab for newer, cleaner technologies and methods such that all benefit?",GeoEngineering,Low,,
Clean Slate US Cities: Can rural areas that currently produce vast amounts of energy become population centers/magenets that utilize locally sourced energy and incentivize net zero CO2 emissions (and air pollutants) and provide products and services for people who move to energy rich regions,GeoEngineering,Low,,
How might the urban/rural divide post climate-driven migration impact socio-economic and cultural divides in terms of access to cultural and educational centers?,GeoEngineering,Low,,
Is it about improving our cities (infrastructure etc.) or evolving our models for organizing humans and their enterprise?,GeoEngineering,Low,,
How might governmental coordination improve environmental outcomes for impacted communities via utilizing incentives and ongoing social comms?,GeoEngineering,Low,,
How might the engagement of underserved communities impact the sustainability of coastal and urban communities?,GeoEngineering,Low,,
Federal and state governments need to subsidize cover cropping as a climate change mitigation tactic everwhere in the world.,GeoEngineering,Low,,
How does climate change and geoengineering impact the priorities of where we have invested in security and where there are gaps that could become higher risk due to these changes?,GeoEngineering,Low,,
If global coordination of GeoEngineering actions is achieved; What other cooperation opportunities arise creating new alliance blocks?,GeoEngineering,Low,,
"How might new data technologies enable more democratic participation? Likewise, how might they negatively impact (e.g. AI making it easier to create and disseminate disinformation that destabilizes governance and societies)",GeoEngineering,Low,,
"Could we in effect develop an economic model in which we pay people to go somewhere and perform some restorative interaction as part of their ""travel""?  At scale? Shifting population around where needed?",GeoEngineering,Low,,
How might advances in semiconductor technology improve economics via high security quantum computing?,GeoEngineering,Low,,
"If everybody is a sensor platform (via wearables) and the data is seen as valuable; will the sensor platforms be exploited as ""things"" or will new economic mode arise allowing a sensor platform to negotiate on a similar/equal footing to the data consumers?",GeoEngineering,Low,,
How might insurance companies invest in geoengineering to mitigate their risks?,GeoEngineering,Low,,
How might constant health monitoring change behaviors and introduce either risks or benefits to security and civil liberties in ways that impact far beyond the health industry?,GeoEngineering,Low,,
How might technologies be governed (a la blockchain) to overcome issues of costs/benefits in climate change?,GeoEngineering,Low,,
Any transition between current state and a future more sustainable technological base will be traumatic to the system.  How can the system shocks be mitigated so as to speed and not stop said transition? (NOTE: the original was in the context of energy economy transition from current to more sustainable),GeoEngineering,Low,,
How might monitoring improve quality of life factors (like air) to impacted communities under stress?,GeoEngineering,Low,,
"Will a focus on new environments exploration (before not possible) lead to a micro focus on said environments (further specialization on details of same) or a a more broader technical perspective and discovery phase? (NOTE: original scope was advanced tek allowing for exploration of remote, hostile previously unexplored envs)",GeoEngineering,Low,,
"How might medical care be facilitated by wearables in a future with a scarce healthcare workforce, or people can't physically get to healthcare facilities?",GeoEngineering,Low,,
"How might longstanding, intractable collective action problems be solved by economic engineering methods enabled by crypto and other data economic techologies?",GeoEngineering,Low,,
"As ""Fabs"" become more critical will they be seen and treated like national security resources to be protected as such?  Will the need lead to a semi (or total) militarization of sorts for that industry? (NOTE: original scope expansion of native semiconductor industry)",GeoEngineering,Low,,
If Fabs proliferate or return how will their negative environmental impact be deal with/ameliorated?  Will it?,GeoEngineering,Low,,
"How might data technologies incentivize actors across multiple sectors and levels to take on activities that lead to disaster mitigation (e.g. improve building standards, reduce fuels that could feed wildfires, build resiliency into communities and companies)?",GeoEngineering,Low,,
Can NASA use novel methods to keep the innovation pipeline in industry energized even during cyclic economic times?,GeoEngineering,Low,,
How does climate change and severe weather events impact the % of airspace that is navigable by aircraft?,GeoEngineering,Low,,
How are increasing number of tornadoes affecting the need for aerospace vehicles that interact with storms to study them and and potentially alter them by physical disruption through new vehicle designs?,GeoEngineering,Low,,
How does climate change and severe weather events impact the viability of current military installations from a geographical standpoint?,GeoEngineering,Low,,
"How might increased monitoring of weather and the environment improve routing models and vehicle design for safer and more reliable transportation via AI, IoT, wearables, etc.?",GeoEngineering,Low,,
How might weather changes impact the viability of long-range ocean transport e.g. commercial shipping?,GeoEngineering,Low,,
And by extension - How does climate change and severe weather events impact the viability of current civilian installations(needed infra such as airports) from a geographical standpoint?,GeoEngineering,Low,,
"How might the coordination of geoengineering efforts across universities, public and private organizations be leveraged to reduce severe weather events?",GeoEngineering,Low,,
How might oceanic ecosystems be impacted by the unintended consequences of genetically engineered agriculture (for all types of organisms)?,GeoEngineering,Low,,
How might oceanic ecosystems be impacted by the unintended consequences of fertilization for carbon dioxide removal?,GeoEngineering,Low,,
How might oceanic ecosystems be impacted by the unintended consequences of genetically engineering humans?,GeoEngineering,Low,,
How might oceanic ecosystems be impacted by the unintended consequences of genetic programming?,GeoEngineering,Low,,
How do changing oceanic ecosystems impact food security and transport security?,GeoEngineering,Low,,
How might weather manipulation (like cloud seeding) reduce ocean acidification and soil degradation?,GeoEngineering,Low,,
Might bioweapons lead to pathogens that would catastrophically impact oceanic and marine/coastal species and environments?,GeoEngineering,Low,,
"How might new organisms evolve to fill niches opened because of species decline, oceanic fertilization, or other trends?",GeoEngineering,Low,,
How might oceanic ecosystems be impacted by the unintended consequences of genetically engineered bioweapons and biosecurity mechanisms?,GeoEngineering,Low,,
"What changes to oceanic ecosystems may be sustainable and positive in terms of mitigating climate change and supporting human civilizations on the ocean or below the water, and how could these be achieved?",GeoEngineering,Low,,
Are there potentially catastrophic security risks related to oceanic ecosystems that could result from bioengineering of humans or oceanic/marine/coastal species?,GeoEngineering,Low,,
"How can the increasing number of earth science databases enable planet-scale earth system management coordination through aviation via monitoring, sampling, and active modification?",GeoEngineering,Low,,
How might increased use of wearables and decreasing digital privacy concerns improve the available data for geoengineering planners via big data processing techniques?,GeoEngineering,Low,,
How might private enterprise (e.g. consumer packaged goods) drive policy change around climate and the adoption of standards for climate accounting and climate credit trading?,GeoEngineering,Low,,
How might conductivity research improve access to power for public consumers via alleviating utility costs?,GeoEngineering,Low,,
How will the scarcity of drinkable water become a driver for climate-related migration?,GeoEngineering,Low,,
How will the impact to current power suppliers be managed (change management) so as to minimize negatives and streamline adoption to new state?,GeoEngineering,Low,,
How will the scarcity of drinkable water impact the liveability of future MegaCities?,GeoEngineering,Low,,
How might we use the technology standards process to establish international agreements around Climate Change?,GeoEngineering,Low,,
"Could this result in new architectural designs for power grids (more scalable, more resilient etc.) regardless of power source?",GeoEngineering,Low,,
How could climate change be a forcing function for adopting measurement and accounting standards for climate change credits including carbon and other types of credits (e.g. credits for lithium battery recycling?),GeoEngineering,Low,,
How might carbon be captured usefully at scale (e.g. trees)?,GeoEngineering,Low,,
"How might new organisms be engineered to fill niches opened because of species decline, oceanic fertilization, or other trends, and provide benefits to the environment and society?",GeoEngineering,Low,,
How will food security issues impact the viability of high-density population centers?,GeoEngineering,Low,,
How will food security issues impact supply chain construction and resiliency?,GeoEngineering,Low,,
How will food security issues shift priorities for political leaders?,GeoEngineering,Low,,
"How might exploring the development of vehicles with the capability to travel in air and water (and crossing back and forth a water-air interface) open new economic, social, scientific, and defense opportunities that can contribute to managing the earth system and increasing need to expand human presence in, and use of, the biosphere?",GeoEngineering,Low,,
"How can we develop better methods (ex. mining, construction) to ameliorate the negative effects of GeoEngineering Interventions?",GeoEngineering,Low,,
How might ubiquitous energy generation reduce carbon emissions?,GeoEngineering,Low,,
How might self-replicating autonomous bio-engineered flying things (of any size) be used for geoengineering?,GeoEngineering,Low,,
"Might bioweapons catastrophically impact food production, and if so, how to prevent or mitigate?",GeoEngineering,Low,,
"Given the perishability of some food items; Could this lead to a luxury item market dynamic requiring fast transportation of said ""luxury goods"" (ie food) to ""haves"" type communities?",GeoEngineering,Low,,
Could there be a creation of a food driven economy/trade market? (Romans with ice in summer),GeoEngineering,Low,,
"How might genetically engineering, or other, technology meant for CO2 capture disrupt other portions of the ecosystem.",GeoEngineering,Low,,
COuld nanotechnologies be designed to mitigate climate change be altered to pass from the air into the blood stream of humans?,GeoEngineering,Low,,
"How, and who decides, does genetically engineered  technology get introduced into environment, marketplace, or commercially? How is it done now?",GeoEngineering,Low,,
Will the need/desire for certain types of information cause a valuation (viewpoint) favoring some populations over others?,GeoEngineering,Low,,
How might monitoring improve equity of Climate Change outcomes?,GeoEngineering,Low,,
How might we improve the equity of participation of LMIC communities impacted by Climate Change?,GeoEngineering,Low,,
How to avoid the Big Brother effect?  Is the provided (perceived) benefit enough to overcome said effect? (NOTE: original context was in the scope of constant monitoring and sensing),GeoEngineering,Low,,
How might AI improve the equity of welfare or economic attainment across borders and regions?,GeoEngineering,Low,,
How might TinyML improve adoption of wearables by the underprivileged for early detection and warning of disasters via economies of scale?,GeoEngineering,Low,,
How might AI analysis and predictions improve environmental outcomes for underprivileged communities via utilizing distributed data management?,GeoEngineering,Low,,
