Prompt,Source,Maturity,Description,EXPO Day 1: Problem Card Prompts,EXPO Day 1: Solution Card Prompts,Solution Cards Original v\.2,Transcript,undefined,Tag
The Role of Hydrogen in Aviation Decarbonization (Carnegie Mellon U),"UI Blue Skies Competition 2023 - ""Clean Aviation Energy""",,"Abstract  We are in a race to stop producing harmful emissions like carbon dioxide from every sector of the global economy. Aviation is responsible for about 3  of these emissions,i and 2-3 times more people are expected to be flying by 2050.ii This begs the question  how do we meet future demand and achieve what NASA and the global aviation community have coalesced around, which is a goal of net zero emissions by 2050, in a robust and equitable way? We believe that hydrogen is the answer.iii This report begins by describing the levers that will help us achieve net zero aviation by 2050, including hydrogen s role in the broader decarbonization effort. It then describes the four stages of our proposed hydrogen supply chain  making hydrogen, moving it via pipelines and trucks, storage near airports, and last-mile delivery to the tarmac. Our vision is to connect hydrogen produced at the Department of Energy s Hydrogen Hubs with the nation s 30 largest airports to minimize infrastructure costs and maximize the impacted flight-miles. The report then presents a strategy for bringing the supply chain to life by drawing on key lessons from transportation electrification efforts and offers a timeline that guides stakeholders towards a future where 20  of revenue-passenger-miles are powered by hydrogen. Since our proposal, we have addresses some of the most pressing questions about the transition to hydrogen aviation, including social benefits (emissions reductions and environmental justice, safety, and green jobs), key barriers (water consumption, public perception, and infrastructure barriers), and policy recommendations (demonstrations, incentives, and regulations), informed by an optimization model developed by the team, literature reviews, and additional stakeholder interviews. 1 2050 Aviation Decarbonization Levers The aviation sector produced approximately 1.2 billion tons of CO2 in 2019. Several studies expect growing demand for air travel to produce over 2 billion tons of CO2 annually by 2050 if a variety of efforts are not employed. These efforts include efficiency improvements, the use of alternative fuels, carbon dioxide removal, and purchasing carbon credits.iv The relative impacts of each of these approaches in achieving net zero aviation is summarized in Figure 1. Figure 1  A list of various efforts that will reduce aviation emissions to net zero organized from greatest to least percent impact Efficiency improvements will be critical to reduce aviation emissions. The Mission Possible Partnership estimates that over the past several decades, the aviation sector has improved efficiency by about 1 . Moving forward, annual improvements of about 2  will be needed to achieve 37  emissions reduction by 2050.3 60  of aviation emissions reductions are expected to come from using alternative fuel sources, including batteries, hydrogen (H2), and sustainable aviation fuels (SAF). The market share that each fuel type claims will be largely determined by the range it can fly. Battery electric planes are expected to fly the short-range flights ( 500 miles),v H2 planes may fly mid-range flights (500-1,600 miles), and SAFs will likely dominate long-range flights ( 1,600 miles).3 Although SAFs are expected to play the biggest role in reducing aviation emissions, they have two significant downsides  (1) Burning SAFs still produces tailpipe emissions, with the best SAFs reducing Jet A emissions up to 80 .vi (2) The production of SAFs requires vast quantities of land, water, and other resources dedicated to producing feedstocks making a conversion to 100  SAFs unrealistic.vi Because of their decreasing energy efficiencies and increasing carbon intensities, this team believes battery electric planes should be adopted wherever possible, followed by H2 planes, leaving SAFs to fuel the remaining furthest routes. Finally, carbon dioxide removal (CDR) and purchasing carbon credits will likely play a role in achieving net zero, although their roles should be minimized. These technologies allow airlines to continue producing emissions and then spend money to directly capture carbon dioxide (CDR) or pay others to remove carbon dioxide (carbon credits). In the pursuit of net zero aviation, this team believes the roles of efficiency improvements and alternative fuels should be maximized, and CDR and carbon credits should be viewed as a last resort. Why Hydrogen The U.S. finds itself in a race against time to minimize emissions across all sectors, and the clock is ticking. H2 is a zero-tailpipe emission fuel that comes with numerous advantages  Supply Chain Readiness A significant amount of H2 infrastructure already exists in the U.S.  There are more than 200 steam methane reforming facilities,vii 55 H2 fueling stations in California,viii and approximately 1,600 miles of pipelines dedicated to H2 transport.ix As a result, the technology readiness level (TRL) for H2 technologies is high across the traditional supply chain  gaseous H2 tube trailers and 2 pipelines, liquid H2 trucks, liquid H2 storage vessels, steam methane reformers, etc. While newer production technologies, such as solid oxide fuel cells, are still around TRL 6, they are rapidly advancing and approaching commercialization.x See Appendix Table 1 for more information. Economy-wide Decarbonization Several  hard-to-decarbonize  sectors   including cement and steel manufacturing, heavy-duty transport, and shipping   are betting on H2 to help them reduce emissions. As more H2 is produced to meet growing demand, all will benefit from reduced prices and strengthened supply chains. Federal Funding Availability The recently passed Inflation Reduction Act (IRA) will subsidize H2 production by up to  3 kg through the mid-2040s.xi The Bipartisan Infrastructure Law, passed in 2021, dedicates  8 billion to the mass production of H2 at H2 hubs across the nation.xii According to Princeton University Professor Jessie Jenkins, this production boost will significantly drive down production costs over time as private and public research advances and economizes electrolyzer technology.xiii Aircraft Performance Hydrogen-powered aircraft can go the distance. While aircraft powered only by fuel cells may be more limited Universal H2 and ZeroAvia s preliminary fuel cell-only aircraft concepts have expected ranges of 600 and 300 nautical miles, respectively hybrid propulsion systems promise to make even trans-continental flight possible.xiv,xv Airbus  combination liquid hydrogen (LH2) combustion and fuel cell aircraft have projected ranges of up to 2,000  nautical miles.xvi In-Flight Emissions Reductions Aircraft powered by only fuel cells would theoretically eliminate all in-flight emissions, with the potential exception of water vapor. Aircraft utilizing LH2 combustion would completely eliminate the CO2 and particulate emissions associated with traditional aircraft but would increase the quantity of water vapor emitted. The nuances of H2 aircraft emissions, including NOx, are discussed in greater detail in the Appendix. Hydrogen Supply Chain Figure 2  The hydrogen aviation supply chain broken up into four sections  Make, Move, Store, and Last Mile 3 Our supply chain is divided into 4 stages  Make, Move, Store, and Last Mile. During the Make stage, gray, blue, and green H2 are produced,xvii predominantly at the DOE s H2 hubs. The vision is to connect H2 from an estimated 8 DOE-funded H2 hubs with a representative version of the FAA s Core 30xviii airports (the 30 largest in the U.S.). Appendix Table 2 lists the predicted hub locations that were used for analysis in this report. Because investing in H2 infrastructure at each airport is quite costly, our strategy is to minimize the number of airports that make the investment by focusing on the largest ones. Once produced, H2 Moves from the H2 hubs to storage facilities at airports, either in gaseous form through pipelines or as a liquid on trucks. We assume that each airport deploying H2 aircraft will Store H2 about one mile away from the tarmac, likely at or near their existing fuel farm. The equipment necessary for H2 storage and usage will include liquid storage tanks, a H2 liquefier if gaseous hydrogen is piped in, and a H2 refueling station if the airport adopts H2 fuel cell ground support equipment and or buses. Finally, zeroemission trucks will transport liquid H2 the Last Mile between the storage facility directly to H2 aircraft that need fueling. Our Plan to Scale Up   Policy Recommendations To bring this supply chain to life, we offer a framework for integrating hydrogen into the aviation sector. This paper draws on lessons learned from the Drive to Zero Program developed by CALSTART, a clean transportation non-profit. So far, 26 countries including the U.S. have signed on to the Drive to Zero Program s Memorandum of Understanding (MOU) committing them to work towards 100  zeroemission truck and bus sales by 2040.xix This section also draws on the proven policy framework developed by the California Air Resources Board (CARB) to commercialize low-carbon technologies. After interviewing both CALSTART s former Executive Vice President and Drive to Zero s Global Director as well as experts at CARB, the team identified five key steps to accelerating the deployment of zero-emission technologies, from transportation to aviation. Step 1  Set Clear, Unifying Goals Explanation  The Global MOU started with a clear goal of 100  zero-emission sales by 2040 based on California s Advanced Clean Trucks Rule and worked backward from there by setting incremental benchmarks.xx Aviation Application  Similarly, our team envisions the aviation community uniting around a singular goal for H2 s role in the market by 2050 and working backward to achieve this goal. Based on our research, setting the goal of 20  of revenue passenger miles (RPM) flown being hydrogen-powered by 2050 seems ambitious yet realistic. xxi, xxii Step 2  Fund Demonstration Projects Explanation  After establishing a goal, the next step was bringing key stakeholders together for demonstration projects. They emphasized that government funding is key to enabling demonstration projects, and  once funding is available, industry will quickly follow.  Aviation Application  In the case of aviation, this will include convening the largest airports, major airlines, H2 aircraft OEMs, H2 producers and transport companies, the Federal Aviation Administration, and nonprofits. The DOE is a likely funding source for aviation decarbonization demonstration projects. Policy Recommendations  Start with demonstration projects. While the Hydrogen Hubs become operational in the mid-to-late 2020 s, we recommend the DOE administer a request for proposals (RFP) for airlines to fly commercial hydrogen flights between two to three airports. Ideally, these airports would be fueled by nearby H2 hubs. These demonstrations would take place around 2035, providing several years to install infrastructure. Match funding by airlines would 4 likely go towards subsidizing the cost of the aircraft and hydrogen transport, storage, and liquefaction infrastructure. Step 3  Replicate Successes Explanation  Once the initial demonstrations projects are operational, the key lessons should be identified and replicated. They noted that  industry alone cannot push progress fast enough. Government incentives and regulations are essential.  Aviation Application  Best practices from H2 aviation demonstration projects should be paired with incentives and regulations to accelerate H2 adoption at the Core 30 airports. Policy Recommendations  After a successful demonstration project or two, then incentives should kick in followed by regulations a few years later. Incentives could subsidize the upfront cost of hydrogen aircraft, airport infrastructure investments, and or the price of H2 flight tickets (i.e., make hydrogen flights cheaper than conventional flights to boost public interest). Interestingly, Universal H2, a leading H2 aviation startup, recommended subsidies go towards renewable electricity generation, electrolyzer costs, and water desalination to benefit cross-sector low-carbon H2 commercialization. Regulations could include an aviation-wide carbon tax or cap and trade system. They could also include a phase-out of the sale of jet fuel aircraft similar to California s Advanced Clean Trucks Rule that gradually bans diesel bus and truck sales. Two additional policy interventions that we recommend are reforms to speed up the permitting process for energy projects as proposed by Senator Joe Manchinxxiii and federal guidance towards approving hydrogen transport by rail. Step 4  Education of Airport Employees   Public Outreach Explanation  Public engagement is key to a successful large-scale transition. Aviation Application  Airports are notoriously low-risk environments. For H2 to be effectively integrated into an airport environment, both employees and the public should be well-educated about how fueling, aircraft appearance, and safety procedures will be different for H2 than they are for traditional Jet A fuel. Step 5  Cultivate International Cooperation Explanation   Decarbonization is an international effort.  Aviation Application  Expanding H2 aviation beyond the U.S. will help decrease costs for all and increase the eventual likelihood of international H2-powered flights. The Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) already exists as a pledge between countries to reduce aviation emissions and would provide a platform for H2 to become a part of the global strategy.xxiv Timeline to Success Conversations with CALSTART thought leaders inspired this team to establish its own goal of 20  H2 RPM by 2050 to work backwards from.xxv Several H2-powered aircraft manufacturers, including global OEMs like Airbus and startups like Universal H2 and ZeroAvia, are expected to bring H2 aircraft to market between 2030 and 2035.14,15 In the meantime, several milestones must be achieved across the H2 supply chain to enable H2 aircraft to scale up rapidly once they are deployed. The team developed the timeline below to help guide the transition. The national vision can be found as Appendix Figure 1. 5 Figure 3  Timeline of milestones to achieve 20  domestic H2 RPM by 2050 Optimization Model To more robustly explore the nuances of a H2 supply chain, we developed a multicriteria decision analysis (MCDA) model that is a mathematical representation of our framework. Our model finds the set of nondominant solutions for supply chain configurations that balance the tradeoff between cost and emissions with a series of real-world constraints. We derived three key findings from our model results, which we summarize here and expand upon in subsequent sections  1. Political initiative is needed to fundamentally minimize uncertainty surrounding costs, emissions, and reliability of the hydrogen supply chain, offering better decision-making capabilities for modelers and decision-makers alike. 2. Infrastructure development must account for both pipelines and trucks in the future aviation hydrogen economy. In the near-term, trucks will likely dominate as a nimbler, cheaper transportation option. In the long-term, pipelines offer a cost-effective, reliable, and loweremissions option to deliver high volumes of H2. 3. For green hydrogen to play a more dominant role throughout the U.S., zero-emission electricity generation prices will need to come down and novel regulatory strategies will need to be invented to incentivize truly net-zero forms of hydrogen production. Figure 4 below shows the final outcomes of our model which selected an optimized network configuration for the four stages of our supply chain while balancing cost and emission objectives. We varied the weight of these objectives (preference weights) with a term called alpha (  ) which ranged from 0-1  where 0 indicated fully optimizing for emissions  and 1 indicated fully optimizing for cost. In order to account for variability within the network, we ran this model over three discrete cumulative distribution functions for H2 demand which we called market capitalization scenarios. This plot captures the opportunity cost of building the cleanest supply chain network  calculated as the cost difference between the most and least emissive configuration  for each market capitalization scenario. This information is essential to decision makers deciding how to configure the supply chain and strategizing how hard to push for H2 penetration into the aviation fuel market. We see that for the base case, the annual opportunity cost is roughly  60 billion (2050 USD)  for the mid case,  146 billion  and for the high case,  256 billion. This information is especially critical given that some industry experts 6 consider anything below 80  H2 market capitalization of domestic aviation fuel consumption by 2050 a catastrophic scenario for the climate and industry as a whole. It begs the question of whether we will have the political and social will to invest in the most carbon neutral future possible. Figure 4  Pareto efficiency frontier for alpha  0.3,0.95 , balancing tradeoff between cost and emissions over different H2 market capitalization scenarios. Differences in cost and emissions between base and high market cap scenarios are  737 billion per year and 145 tonnes year CO2, respectively. Multiple optimal points are chosen per each alpha, which we resolve to model setup. Alpha range in final presentation truncated due to spurious outcomes resolved to modeling semantics. See appendix for details. Supply Chain Logistics Through extensive data collection and using some of the internal calculations of our model, we have answered 4 Key Questions about H2 integration into the aviation sector for the 30 largest airports in the country (representative of the Core 30). Production, transportation, and storage costs were estimated using the quantities of H2 calculated under the 20  domestic RPM scenario detailed in Question 1. Additional details, calculations, and the full list of the 30 airports analyzed can be found in the Appendix. 1. Is it realistic  Can the 30 largest airports in the continental U.S. alone be responsible for making 20  of all domestic revenue passenger miles (RPM) be powered by H2 by 2050? If so, what percentage of their yearly RPM would need to be powered by H2, and how much H2 does this translate to? Yes, if the 30 largest airports each power about 27  of their annual RPM with H2 in 2050, H2 would power 20  of total domestic RPM. This would require between 11 and 17 MT (megatons) of H2. A conversation with an engineer at the California Air Resources Board (CARB) revealed that CARB predicts a H2 hub in their state would produce approximately 16 MT year of H2 by 2045. If these numbers prove true at all hubs (or even close to true), then meeting 20  H2 RPM would demand less than 15  of H2 hub capacities nationwide. As shown in Appendix Table 2, the H2 hub expected to supply the most H2 to airports is the one located in CA, and airports would demand less than 10  of this hub s total capacity. 2. Fuel Cost and Emissions  What are the cost and emissions implications of each color of H2 in comparison with Jet A fuel? Thanks to generous IRA H2 production credits (up to  3 kg), blue H2 is expected to become cheaper than jet fuel,xxvi and both green and pink H2 become cost-competitive with jet fuel. As technologies like electrolyzers and small modular reactors used in making green and pink H2, respectively, increase in production and efficiency, all H2 types may become competitive with jet fuel. We also see that green, pink, and blue H2 emit less than 1 3 the emissions of jet fuel. 7 Figure 5  Expected costs and emissions of energy-equivalent quantities of H2 fuel and Jet A fuel for the  average  airport 3. Transport Cost  What are the CapEx costs associated with procuring pipelines or trucks to connect H2 hubs with airports? Are trucks or pipelines more cost effective? Figure 6  Total CapEx costs for transporting H2 to three airports that demand different H2 quantities  LAX (551 million kg), CLT (184 million kg), and IAD (102 million kg). We find that it is likely more cost effective for airports to select one transport method for delivering their H2   either as a gas through pipelines or as a liquid via heavy duty trucks   since the infrastructure complexities and CapEx costs required for each are so large. For the 30 airports considered, we find that their annual H2 demand (under the 20  H2 domestic RPM scenario) can each be met by one 36  dedicated H2 pipeline. Lastly, we find that the most cost-effective option for the 26 largest airports is pipelines, and that the remaining smaller airports should use trucks (see IAD in Figure 6). This largely has to do with the quantity of H2 demanded at an airport and the distance from an airport to its nearest H2 hub. See Appendix for additional details. Also note that while we analyze battery electric trucks here, fuel cell trucks are rapidly improving and may be another viable option. 4. Storage Cost  Assuming a 25  on-site storage requirement, what is the CapEx cost associated with on-site liquid H2 storage at airports? At the highest H2-demanding airport (LAX), an estimated seven on-site 3,218 m3 capacity LH2 storage spheres will be needed at a cost of around  54 million. Spherical, as opposed to cylindrical, storage tanks are used to store especially large volumes of LH2, and the dimensions and costs of those used in this analysis come from the National Renewable Energy Lab s Hydrogen Demand Scenario Analysis Model (HDSAM).xxvii At the lowest demanding Core 30 airport (AUS), only 2 spheres would be needed, for a total cost of around  15 million. These costs represent a lower bound, as they 8 only include the expected price of the storage spheres and associated piping and pumps, not labor or licensing costs. While expensive, Pittsburgh Airport and LAX are currently investing  1.5B and  6B in new terminals, signifying that airports are no strangers to hugely expensive expansion projects. Social Benefits Emissions Reductions and Environmental Justice It has been shown repeatedly that the effects of climate change most often impact marginalized and lowincome communities.xxviii Making H2 the clean fuel of the aviation industry will help to catalyze the hydrogen economy which promises to bring decarbonization to many high polluting sectors. From an end-use perspective, the benefits are universal. Airports with H2-powered ground support equipment (e.g., airport cargo loaders and wide-body aircraft tugs) and planes will make for cleaner, quieter airports   reducing the pollution burden of flight operations on nearby communities.xxix The benefits of production are not as clear cut. As Figure 7 shows, green H2 production is prioritized under preference weights that prioritize lower emissions. These preference weights also correspond to ranges for which the results of our model are most unconfident due to the prior-mentioned compounding of uncertainties when      0.3 and      0.95 (see Appendix Figure 2). Our results indicate that for green H2 to be more of a contender with blue H2 when optimizing for cost, the per unit cost of green H2 must come down. Additionally, we find that in the presence of insufficient accounting of regional resource constraints or emissions equity priorities, federal optimization (e.g., based on cost) will result in homogenous hydrogen production methods across the entire country. This may not equitably distribute benefits of clean (green) H2. The result being that certain regions may be excluded or unintentionally selfexclude from the larger green economy  retrenching distributional emissions harms. Figure 7  Average quantity and type of hydrogen production over all probabilistic scenarios for the given priority weights. Green hydrogen production is chosen for the most uncertain, emissions-prioritized regions. Pink hydrogen serves more as a transitional method of hydrogen production. Blue hydrogen would be the most dominant form of production over a range of priority weights. Safety Another social benefit is that H2 is safer than jet fuel with respect to its impact on human health, environmental safety, and risk of fires. Whereas direct exposure to jet fuel can damage the liver, immune system, skin, and cause cancer, H2 is neither toxic nor carcinogenic.xxx From an environmental safety lens, jet fuel can remain in soil for over a decade and leach into local groundwater. H2, on the other hand, is likely to rise into the atmosphere and disperse because it 14 times lighter than air.xxxi Finally, H2 poses less of a fire risk than jet fuel. H2 is less likely to ignite than fossil fuels because it requires significantly higher oxygen levels and temperatures. If it does ignite, H2 fires pose less of a risk than jet fuel fires because its flames burn upwards rather than circumferentially causing less damage to surroundings. H2 also radiates much more slowly which decreases the risk of H2 fires spreading to insulated components in the case of an airplane fire. xxxii 9 This is not to say that H2 is completely safe. Safety precautions for H2 deserve serious attention, especially because H2 leaks easily and burns with an invisible flame. Given that the U.S. has over four decades of experience handling H2, H2 safety is not a new research area. Several organizations, including the Center for H2 Safety and the Hydrogen Industry Panel on Codes, have worked together to create robust H2 safety measures.xxxi H2 will likely be deployed in several new sectors over the coming decades, which will require close monitoring and the advent of new safety measures. However, it is ultimately a massive leap forward from jet fuel in terms of safety. Green Jobs The blossoming H2 economy will create vast new employment opportunities. These jobs will span the supply chain, including areas such as CCS technology, electrolyzer and fuel cell manufacturing, pipeline installation, and the multiple end-uses of H2. What truly sets H2 apart from other alternative aviation fuels is that it will be deployed in so many sectors beyond aviation, including transportation, industry, and shipping which means that the jobs created will not be niche - they will be highly transferable, long-term employment opportunities that span multiple sectors.xxxiii These jobs are already beginning to emerge. 20  of the application for the DOE s Hydrogen Hub funding is a Community Benefits Plan which requires applicants to consider labor engagement, workforce development, diversity, equity, inclusion, accessibility, and the federal Justice40 Initiative which ensures 40  of federal investments flow towards disadvantaged communities.xxxiv, xxxv Rather than recreate the wheel, the aviation community has the opportunity to invest in H2 and scale up the green jobs already being designed to lift up communities most in need. Key Barriers Water Consumption The three H2 production pathways the DOE is funding through their H2 hub network pink, blue, and green each consume significant water resources. Assuming the use of light water reactors, pink H2 requires the most water, approximately 76-85 gallons of water per kg H2 produced. Green H2 is not nearly as water-intensive, requiring 19-28 gallons per kg H2, xxxvi because solar and wind do not require water to generate electricity unlike light water reactors. Blue H2 requires the least water at 8-12 gallons per kg H2. In this case, the water usage comes from several different sectors  the natural gas supply chain, cooling tower, and electricity.xxxvii, xxxviii, xxxix Based on the projected 2050 demand for H2 from the domestic aviation sector alone, we estimate the maximum water required at H2 hub to exceed 88 billion gallons year (see Appendix for details on this calculation). This means states will have to allocate a significant portion of water resources to H2 production, a difficult task for regions with pre-existing water stress. One example of an already-stressed state is California whose water demand exceeds 110  of available water supply.xl One potential solution for California and similarly stressed areas is the desalination of rivers and seawater. Reverse Osmosis (RO) has achieved a TRL of 9 with large-scale application globally, including 35  of Israel s freshwater coming from RO desalination,xli which demonstrates its ability to help address water scarcity issues. Public Perception Public acceptance of the use of H2 in aviation is an important factor that, if not addressed, can become a barrier to commercializing hydrogen aviation. To understand the role of public acceptance of H2 projects, we reviewed the work of Iana Iacob, a PhD student at Carnegie Mellon University focused on public 10 perception of the hydrogen hubs and hydrogen aviation. Without public acceptance, hydrogen projects are at risk of facing pushback due to NIMBYism and environmental concerns. Numerous surveys indicate that the public s key concerns surrounding H2 relate to safety, regulation, and oversight. This applies to all stages of the supply chain, meaning that the public would like to see safety guaranteed by regulations and oversight for hydrogen production, transport, storage, use in aircraft, and CCS technology. Research also suggests that the public is largely unaware of hydrogen as an energy carrier. This offers hydrogen stakeholders an opportunity to craft the narrative surrounding hydrogen. We recommend that hydrogen stakeholders and government proactively collaborate on hydrogen safety regulations over the coming years so that when hydrogen demonstration projects begin, the hydrogen community can point to existing regulations to help foster public trust. Regulation will specifically be key to enabling hydrogen transport via interstate pipelines, the primacy to store CO2 underground for CCS technologies, and the storage of H2 safe from attacks. Infrastructure Barriers Both pipelines and electric or diesel trucks pose their own unique challenges as H2 delivery methods. Pipelines have much longer lifetimes and lower emissions per kg of H2 delivered than trucks. Despite steep upfront costs, pipelines can be a very cost-effective option for delivering large amounts of H2.xlii However, there has historically been significant resistance to the construction and installation of pipelines spanning large areas, for reasons such as geopolitics, ecological damage, exploitation of Native American lands, and drinking water contamination.xliii,xliv,xlv And even if a route was designed such that each of these concerns were addressed, a pipeline can take up to ten years to construct.xlvi A Senior Director of Operations at the San Diego Airport told the team that switching from delivering Jet A fuel on the tarmac with trucks to an underground pipeline system caused huge disruptions and including gates needing to close temporarily. Despite these drawbacks, there are over 1,600 miles of H2 pipelines already in existence in the U.S., and pipelines are by far the most common delivery method of jet fuel to airports.xlvii Trucks present a more flexible option. They do not require the permanent alteration of huge swaths of land, eliminating the huge time sink of route design and licensing for pipelines. Furthermore, they can be cost-effective options for customers who demand low to moderate quantities of H2, and some studies have found them to be cost-effective (relative to pipelines) for longer delivery distances.xlvi, xlviii On the other hand, adding trucks to the road increases congestion, which in turn impacts the safety of all vehicles on the road, the quantity of vehicle emissions released into communities on roadways, and travel times. At busy airports, increased traffic on airport-access roads and the tarmac could pose a concern to airport operations. Furthermore, trucks delivering liquified H2 suffer from the  boil off  of LH2 where liquid H2 increasingly escapes over time. A representative of Universal H2 told the team that a possible solution is to establish a strict window 4 days was suggested in which H2 is delivered and used by aircraft. Conclusion Decarbonizing our economy is the challenge of our generation. If we are to minimize global warming as fast as possible, we must coalesce around a unified and realistic decarbonization vision. H2 emerges as a promising solution for decarbonizing aviation because it is projected to offer transcontinental, zeroemission flights and is already supported by high supply chain readiness and federal funding. We find that connecting the Department of Energy s H2 hubs with the 30 largest airports creates a reliable source of H2 supply and demand that would both help achieve NASA s 2050 net zero aviation goals and help spur cross-sector decarbonization. H2 offers improved emissions reductions and environmental justice, safety, and transferrable green jobs. By addressing its key barriers like water consumption, public perception, and infrastructure challenges with proven policy initiatives, we believe H2 offers the best chance to decarbonize aviation and the broader economy.",,,,,,
How could climate change be a forcing function for adopting measurement and accounting standards for climate change credits including carbon and other types of credits (e.g. credits for lithium battery recycling?),CAS Discovery  GeoEngineering,Low,,,,,,,climate
"How might genetically engineering, or other, technology meant for CO2 capture disrupt other portions of the ecosystem.",CAS Discovery  GeoEngineering,Low,,,,,,,climate
"How, and who decides, does genetically engineered  technology get introduced into environment, marketplace, or commercially? How is it done now?",CAS Discovery  GeoEngineering,Low,,,,,,,climate
How might monitoring improve equity of Climate Change outcomes?,CAS Discovery  GeoEngineering,Low,,,,,,,climate
How might we improve the equity of participation of LMIC communities impacted by Climate Change?,CAS Discovery  GeoEngineering,Low,,,,,,,climate
"What changes to oceanic ecosystems may be sustainable and positive in terms of mitigating climate change and supporting human civilizations on the ocean or below the water, and how could these be achieved?",CAS Discovery  GeoEngineering,Low,,,,,,,climate
"How can the increasing number of earth science databases enable planet-scale earth system management coordination through aviation via monitoring, sampling, and active modification?",CAS Discovery  GeoEngineering,Low,,,,,,,climate
How might private enterprise (e.g. consumer packaged goods) drive policy change around climate and the adoption of standards for climate accounting and climate credit trading?,CAS Discovery  GeoEngineering,Low,,,,,,,climate
Coastal airports are susceptible to climate impacts,CAS Discovery  Powering Sustainable Airports,,"Engineer multi-layered, adaptive infrastructures that serve as both airports and coastal defense structures, dynamically responding to changing sea levels.",,,,,,climate
Remote access and disaster readiness are often lacking,CAS Discovery  Powering Sustainable Airports,,Develop pop-up airport capabilities with rapid-deployment infrastructure for emergency response and remote operations.,,,,,,climate
Airfield surfaces are susceptible to environmental damage,CAS Discovery  Powering Sustainable Airports,,Engineer a range of different sized capacity repair drones that maintain self-repairing runways (bio-concrete and materials that respond to weather changes).,,,,,,climate
"Given its possible role in overall public health, what regulations restrictions may be imposed on aviation in the future? ",CAS Discovery  Health and Wellness,Medium,"Why is this a problem?   As new pandemics arise, they will likely impact aviation in a negative way, e.g., new restrictions to slow the spread of the pathogens, resulting in a loss of revenue (fewer passengers flying) and additional operational costs (mitigation measures).   What capabilities may be needed to address the problem?   Real-time monitoring of air and passengers to detect pathogens, as well as enhanced filtering of air flows.   What trends might enable problem exploration and solution?   Spread of new variants of COVID and new pathogens will motivate incentivize problem solution.   Reach - How many people, communities are going to be impacted or are impacted by the problem?   Billions of passengers per year, all around the world.   Impact - What is the scale of the impact? (high, medium, low)?  High impact, given the extensive reach and importance of aviation to the global economy.   Confidence - How confident are we in the impact and reach determinations?   Medium.   Effort   what is the effort scale needed to address? Wickedness? CAS-ARMD NASA aligned?   Large effort to solve this big problem, which has a strong aeronautics connection  hence CAS-worthy.   Part of broader conversation to regulate aviation to reduce negative impacts - TSP AVIATION-2050 SYNTHESE ENG.pdf (theshiftproject.org)   Smaller companies get away with more but do more damage.   How does oligopoly impact regulation? ",Rising scarcity of drinkable water affecting urban societies and contributing to climate-related migration.,,"Desalination technologies, green infrastructure, water credits system, and multimodal transportation for water delivery.",,,"climate, health"
How might we employ AI to improve disaster response and humanitarian aid efforts?,CAS Discovery  Health   Wellness,Medium,"AI can significantly improve the effectiveness and efficiency of disaster response and humanitarian aid efforts by providing real-time insights, optimizing resource allocation, and supporting decision-making in complex, rapidly evolving situations. Machine learning algorithms can analyze satellite imagery and social media data to assess the extent of damage and identify areas most in need of assistance. AI-powered predictive models can forecast the spread of infectious diseases or the likelihood of aftershocks following an earthquake, allowing responders to prioritize their efforts. Autonomous vehicles and drones equipped with AI can deliver supplies and conduct search and rescue operations in hazardous or hard-to-reach areas. By harnessing the power of AI, humanitarian organizations can respond more quickly, allocate resources more effectively, and ultimately save more lives in the aftermath of disasters.","Problem Title  Disaster Response and Humanitarian Aid Efforts  Problem Description  Disaster response and humanitarian aid efforts often face challenges in terms of effectiveness and efficiency. These challenges include the need for real-time insights, resource allocation, and decision-making in complex, rapidly evolving situations. Assessing the extent of damage, identifying areas most in need of assistance, forecasting the spread of infectious diseases or the likelihood of aftershocks following an earthquake, and delivering supplies and conducting search and rescue operations in hazardous or hard-to-reach areas are all significant challenges.","AI's Potential for Personalized Education. Artificial Intelligence can transform education by customizing learning to individual student profiles. AI can adjust study materials, pace, and teaching methods based on performance data, helping students focus on areas needing improvement while leveraging their strengths. This personalized approach aims to enhance motivation, academic success, and overall educational satisfaction. Source  CAS Wicked Wild pitch.","Solution Title  AI-Powered Disaster Response and Humanitarian Aid  Solution Description  AI can significantly improve disaster response and humanitarian aid efforts. Machine learning algorithms can analyze satellite imagery and social media data to assess the extent of damage and identify areas most in need of assistance. AI-powered predictive models can forecast the spread of infectious diseases or the likelihood of aftershocks following an earthquake, allowing responders to prioritize their efforts. Autonomous vehicles and drones equipped with AI can deliver supplies and conduct search and rescue operations in hazardous or hard-to-reach areas. By harnessing the power of AI, humanitarian organizations can respond more quickly, allocate resources more effectively, and ultimately save more lives in the aftermath of disasters.",,,weather and disasters
"AEROcAST - Advanced Exploration of Reliable Operation in Low Altitude Meteorology, Simulation, and Technology",CAS Execution,High,"Create a weather sensing, modeling, and reasoning framework for enabling weather tolerant operations Make urban spaces friendlier to flight where architecture of large structures in cities are known to create turbulent wind flows Enhanced safety and efficiency of AAM in adverse weather conditions More efficient vertiport operations Improved navigation and decreased turbulence in urban environments Filling the gap of weather observations in the atmospheric boundary layer and better understanding of wind flows in the urban environment Improved weather forecasts for many applications ",,,,,,weather and disasters
